timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
189384184,0.051847823,-0.3236425,0.30008835,0.8656288,0.24054925,0.030547116,-0.43805233
189416094,0.009348491,-0.38109717,0.26722535,0.8676638,0.23811351,0.024879087,-0.43570918
189448089,-0.03056575,-0.4321488,0.22391894,0.8696326,0.23516169,0.01809199,-0.43371737
189479987,-0.018249983,-0.5297458,0.23080114,0.8714629,0.23190963,0.0100743845,-0.43205205
189512005,0.074469574,-0.6189503,0.2645511,0.8731294,0.22837909,0.0010277728,-0.4306818
189544093,0.0807852,-0.6626138,0.26466626,0.87459946,0.22464077,-0.008859978,-0.4295742
189576016,0.08966279,-0.66754943,0.22314507,0.8758425,0.22090127,-0.01958684,-0.42862436
189608305,0.064362526,-0.69701767,0.21302663,0.87684005,0.21744145,-0.031067733,-0.42767456
189640880,0.15041597,-0.74980056,0.2341912,0.8775124,0.21453129,-0.043613583,-0.4266688
189672755,0.2340322,-0.7831879,0.26822335,0.8780087,0.21154238,-0.055989653,-0.42569435
189704767,0.24972562,-0.7357683,0.25249797,0.8782543,0.20898509,-0.06849225,-0.42462173
189736829,0.18087256,-0.6808053,0.2117794,0.8781945,0.2072859,-0.081171885,-0.4233417
189764805,0.32595626,-0.722125,0.27834606,0.8780389,0.2060944,-0.09222225,-0.42198098
189796882,0.13849589,-0.6292649,0.2340585,0.87791854,0.20437631,-0.10380359,-0.4203741
189828806,0.16382404,-0.57116795,0.21816523,0.8779655,0.20209363,-0.11453563,-0.4185888
189860806,0.17844345,-0.5634256,0.26651466,0.87797534,0.20062648,-0.124693446,-0.41636515
189892769,0.19923566,-0.49714476,0.2948228,0.878186,0.19893645,-0.13360104,-0.41396195
189924734,0.013618219,-0.371168,0.25111747,0.87876475,0.19666101,-0.14095414,-0.41137454
189956823,0.03423564,-0.29609206,0.25337198,0.8795259,0.19480716,-0.14735769,-0.40837508
189985544,0.03059501,-0.26817805,0.3159885,0.8805355,0.19300067,-0.15196098,-0.4053591
190017653,0.035615586,-0.13164124,0.2756868,0.8818681,0.19142139,-0.15585801,-0.40171498
190049575,-0.056347113,-0.05300411,0.28737015,0.88352853,0.1902504,-0.15865016,-0.3975075
190081568,0.08689988,-0.015416642,0.34886596,0.8854078,0.18997136,-0.16032536,-0.39275938
190113542,0.09565589,0.097998515,0.36928603,0.8875306,0.19049639,-0.16074646,-0.38750643
190145773,0.063688286,0.23170418,0.33039796,0.88997006,0.1914107,-0.15979828,-0.38181102
190177586,-0.011936055,0.30436406,0.34648106,0.89265996,0.1929816,-0.1577669,-0.37553424
190209549,0.07899812,0.3583761,0.40340647,0.89568853,0.19462532,-0.15431568,-0.36884928
190237649,-0.016720789,0.47730157,0.3627858,0.89850605,0.19643265,-0.1502446,-0.36266756
190269634,-0.018667089,0.5218339,0.39794558,0.9019802,0.1985556,-0.14455324,-0.35512233
190301533,0.05418483,0.5764989,0.45075187,0.90561503,0.20094293,-0.13771293,-0.34715778
190333609,0.033196006,0.6728456,0.4377872,0.909349,0.20359711,-0.12979539,-0.33880037
190365622,-0.03606543,0.7667734,0.41049132,0.9131308,0.20661515,-0.120948434,-0.3299606
190398363,-0.04576305,0.80156326,0.4288271,0.9170243,0.20995404,-0.11096691,-0.32042497
190426460,0.04580962,0.8538693,0.46934405,0.92026216,0.21322425,-0.10170212,-0.3119451
190458685,-0.01430917,0.92900735,0.43275812,0.9239022,0.21691899,-0.09026668,-0.30199838
190490420,-0.015231643,0.9421777,0.45187014,0.9272923,0.22119322,-0.07844662,-0.29163137
190522367,0.04388558,0.94844383,0.49823958,0.9304683,0.22554775,-0.06616062,-0.28103322
190554394,0.09177707,0.96344334,0.50334156,0.9333995,0.229972,-0.053502057,-0.27021474
190586426,0.053098697,1.005865,0.46077368,0.9360485,0.23435014,-0.04074311,-0.259294
190618417,0.014257594,0.99606025,0.45863423,0.93837214,0.23894148,-0.028056962,-0.2481483
190650351,0.036103643,0.9562172,0.49572358,0.94037163,0.24359313,-0.015645402,-0.23689404
190678371,0.07417533,0.9709277,0.47418445,0.941901,0.24748883,-0.004857321,-0.22704226
190710642,0.004890415,0.9425562,0.47170684,0.94346404,0.25160152,0.0070732264,-0.21569055
190742508,0.03068055,0.8808434,0.51019275,0.9447658,0.2555931,0.018523837,-0.20432028
190775214,0.114339486,0.8392629,0.5396465,0.94576675,0.25982007,0.029719753,-0.1927057
190807178,0.16686304,0.8109253,0.5289722,0.94638884,0.26421314,0.039952017,-0.18150358
190839274,0.14459997,0.7944345,0.48477843,0.9467487,0.26862413,0.049534243,-0.170454
190867198,0.15148558,0.71381444,0.5343539,0.9468336,0.27266523,0.057161044,-0.16091135
190899189,0.18112455,0.6707539,0.5243072,0.946856,0.27680403,0.065299615,-0.15026411
190931332,0.11491677,0.65274084,0.4785446,0.9467996,0.28058454,0.07273264,-0.13983215
190963125,0.03741438,0.59014285,0.47636247,0.9466814,0.28409886,0.07928934,-0.12959692
190995226,0.05247559,0.507899,0.51161706,0.94656694,0.2871771,0.0850546,-0.11960845
191027236,0.09979618,0.4501189,0.5298442,0.9465129,0.28970507,0.090083584,-0.109860964
191059196,0.07441517,0.42831668,0.4956761,0.946483,0.29187194,0.09444125,-0.100307226
191091130,-0.02841484,0.3968643,0.47008744,0.9465729,0.29347232,0.09804482,-0.09089029
191119214,0.09614089,0.31742463,0.5350484,0.94653463,0.295158,0.10049074,-0.08279821
