timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
37436702,37436702,18,255,0,0,0,1510,1516,1308,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
37556681,37556681,18,255,0,0,0,1510,1516,1210,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
37652443,37652443,18,255,0,0,0,1510,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
37761111,37761111,18,255,0,0,0,1510,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
37857170,37857170,18,255,0,0,0,1510,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
37952942,37952942,18,255,0,0,0,1510,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
38062323,38062323,18,255,0,0,0,1510,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
38158402,38158402,18,255,0,0,0,1510,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
38270099,38270099,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
38362418,38362418,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
38459124,38459124,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
38555930,38555930,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
38675366,38675366,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
38772442,38772442,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
38867871,38867871,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
38964374,38964374,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
39061492,39061492,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
39181375,39181375,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
39277031,39277031,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
39386152,39386152,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
39481626,39481626,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
39578940,39578940,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
39674562,39674562,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
39770782,39770782,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
39879655,39879655,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
39975225,39975225,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
40091369,40091369,18,255,0,0,0,1509,1516,1178,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
