timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
196382113,32767,32767,32767,32767,32767,32767
196386114,32767,32767,32767,32767,32767,32767
196390113,32767,32767,32767,32767,32767,32767
196394113,32767,32767,32767,32767,32767,32767
196398127,-61,32767,32767,32767,32767,32767
196402113,32767,32767,32767,32767,32767,32767
196406113,32767,32767,32767,32767,32767,32767
196410117,32767,32767,32767,32767,32767,32767
196414157,32767,32767,32767,32767,32767,32767
196418119,32767,32767,32767,32767,32767,32767
196422113,32767,32767,32767,32767,32767,32767
196426113,32767,32767,32767,32767,32767,32767
196430113,32767,32767,32767,32767,32767,32767
196434135,32767,32767,32767,32767,32767,32767
196438120,32767,32767,32767,32767,32767,32767
196442113,32767,32767,32767,32767,32767,32767
196446113,32767,32767,32767,32767,32767,32767
196450113,32767,32767,32767,32767,32767,32767
196454126,32767,32767,32767,32767,32767,32767
196458160,32767,32767,32767,32767,32767,32767
196462113,32767,32767,32767,32767,32767,32767
196466113,32767,32767,32767,32767,32767,32767
196470113,32767,32767,32767,32767,32767,32767
196474113,32767,32767,32767,32767,32767,32767
196478156,32767,32767,32767,32767,32767,32767
196482113,32767,32767,32767,32767,32767,32767
196486913,32767,32767,32767,32767,32767,32767
196490914,32767,32767,32767,32767,32767,32767
196494913,32767,32767,32767,32767,32767,32767
196498916,32767,32767,32767,32767,32767,32767
196502914,32767,32767,32767,32767,32767,32767
196506913,32767,32767,32767,32767,32767,32767
196510913,32767,32767,32767,32767,32767,32767
196514929,32767,32767,32767,32767,32767,32767
196518936,32767,32767,32767,32767,32767,32767
196522913,32767,32767,32767,32767,32767,32767
196526913,32767,32767,32767,32767,32767,32767
196530913,32767,32767,32767,32767,32767,32767
196534915,32767,32767,32767,32767,32767,32767
196538957,32767,32767,32767,32767,32767,32767
196542913,32767,32767,32767,32767,32767,32767
196546913,32767,32767,32767,32767,32767,32767
196550913,32767,32767,32767,32767,32767,32767
196554913,32767,32767,32767,32767,32767,32767
196558940,32767,32767,32767,32767,32767,32767
196562913,32767,32767,32767,32767,32767,32767
196566947,32767,32767,32767,32767,32767,32767
196570913,32767,32767,32767,32767,32767,32767
196574913,32767,32767,32767,32767,32767,32767
196578913,32767,32767,32767,32767,32767,32767
196582913,32767,32767,32767,32767,32767,32767
196586914,32767,32767,32767,32767,32767,32767
196590913,32767,32767,32767,32767,32767,32767
196594913,32767,32767,32767,32767,32767,32767
196598929,32767,32767,32767,32767,32767,32767
196602913,-65,32767,32767,32767,32767,32767
196606913,32767,32767,32767,32767,32767,32767
196610913,32767,32767,32767,32767,32767,32767
196614913,32767,32767,32767,32767,32767,32767
196618934,32767,32767,32767,32767,32767,32767
196622913,32767,32767,32767,32767,32767,32767
196626913,32767,32767,32767,32767,32767,32767
196630913,32767,32767,32767,32767,32767,32767
196634913,32767,32767,32767,32767,32767,32767
196638913,32767,32767,32767,32767,32767,32767
196642913,32767,32767,32767,32767,32767,32767
196646921,32767,32767,32767,32767,32767,32767
196650913,32767,32767,32767,32767,32767,32767
196654913,32767,32767,32767,32767,32767,32767
196658926,32767,32767,32767,32767,32767,32767
196662913,32767,32767,32767,32767,32767,32767
196666961,32767,32767,32767,32767,32767,32767
196670913,32767,32767,32767,32767,32767,32767
196674913,32767,32767,32767,32767,32767,32767
196678913,32767,32767,32767,32767,32767,32767
196682933,32767,32767,32767,32767,32767,32767
196686925,32767,32767,32767,32767,32767,32767
196690913,32767,32767,32767,32767,32767,32767
196694913,32767,32767,32767,32767,32767,32767
196698913,32767,32767,32767,32767,32767,32767
196702915,32767,32767,32767,32767,32767,32767
196706945,32767,32767,32767,32767,32767,32767
196710913,32767,32767,32767,32767,32767,32767
196714913,32767,32767,32767,32767,32767,32767
196718915,32767,32767,32767,32767,32767,32767
196722913,32767,32767,32767,32767,32767,32767
196726913,32767,32767,32767,32767,32767,32767
196730913,32767,32767,32767,32767,32767,32767
196734913,32767,32767,32767,32767,32767,32767
196738913,32767,32767,32767,32767,32767,32767
196742913,32767,32767,32767,32767,32767,32767
196746913,32767,32767,32767,32767,32767,32767
196750913,32767,32767,32767,32767,32767,32767
196754913,32767,32767,32767,32767,32767,32767
196758913,32767,32767,32767,32767,32767,32767
196762913,32767,32767,32767,32767,32767,32767
