timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
330371918,330371721,0.010183284,0.06693801,-0.10493008,0.3386363,0.0,0.0,0.0,1.0
330471879,330471721,-0.20972334,0.23281771,-0.14469281,0.3780963,0.0,0.0,0.0,1.0
330571966,330571759,-0.13640784,0.1448316,-0.12991948,0.3596479,0.0,0.0,0.0,1.0
330673452,330673321,0.02208819,0.0694554,-0.15256993,0.3383206,0.0,0.0,0.0,1.0
330777472,330777343,0.05253,0.00859392,-0.12480044,0.35283318,0.0,0.0,0.0,1.0
330877517,330877321,0.047749914,0.016236123,-0.077989176,0.36153945,0.0,0.0,0.0,1.0
330977493,330977321,0.009244822,0.051092196,-0.08341009,0.37037608,0.0,0.0,0.0,1.0
331081488,331081358,-0.027996955,0.0649664,-0.09392863,0.38305587,0.0,0.0,0.0,1.0
331181457,331181321,0.006615446,0.019205645,-0.093222804,0.3908511,0.0,0.0,0.0,1.0
331283047,331282921,0.009273125,0.016328825,-0.12976396,0.39231914,0.0,0.0,0.0,1.0
331387048,331386921,-0.0182629,0.022488143,-0.094831474,0.39271864,0.0,0.0,0.0,1.0
331487052,331486921,0.019961534,0.05402167,-0.11153021,0.39172417,0.0,0.0,0.0,1.0
331587043,331586921,0.00063019805,0.026760258,-0.11287944,0.39307588,0.0,0.0,0.0,1.0
331691089,331690921,-0.028777067,0.016395008,-0.10841816,0.3901322,0.0,0.0,0.0,1.0
331791920,331791721,0.062172286,0.03316424,-0.08533737,0.39246362,0.0,0.0,0.0,1.0
331891954,331891722,-0.043789364,-0.010264259,-0.10506552,0.39129975,0.0,0.0,0.0,1.0
331995864,331995725,-0.030823927,0.017161576,-0.060495626,0.39272094,0.0,0.0,0.0,1.0
332095876,332095751,0.07619816,0.022016337,-0.12778541,0.39125365,0.0,0.0,0.0,1.0
332195911,332195759,-0.074041486,0.016141511,-0.06381714,0.39368665,0.0,0.0,0.0,1.0
332299849,332299721,-0.00422212,0.015761506,-0.095683955,0.39406192,0.0,0.0,0.0,1.0
332399846,332399721,0.004812767,0.04881257,-0.098860785,0.3936939,0.0,0.0,0.0,1.0
332501451,332501321,-0.049800888,0.009742703,-0.09012867,0.40030685,0.0,0.0,0.0,1.0
332601450,332601321,0.023219457,0.020129396,-0.12655954,0.39748117,0.0,0.0,0.0,1.0
332705450,332705321,-0.0019973256,0.018562473,-0.098888196,0.40351877,0.0,0.0,0.0,1.0
332805474,332805339,-0.08521571,0.027459754,-0.056209218,0.40637943,0.0,0.0,0.0,1.0
332909492,332909321,0.019130435,0.023866445,-0.10729607,0.407689,0.0,0.0,0.0,1.0
333009500,333009321,-0.058101594,0.02231986,-0.12922326,0.40872902,0.0,0.0,0.0,1.0
333111085,333110921,-0.004301543,0.025758306,-0.06963435,0.41397744,0.0,0.0,0.0,1.0
333211046,333210921,-0.029672546,0.021714292,-0.121712565,0.41390258,0.0,0.0,0.0,1.0
333315049,333314921,7.453468e-05,-0.0034233904,-0.09788994,0.3986649,0.0,0.0,0.0,1.0
333415056,333414931,0.04134023,0.008242664,-0.13554525,0.38774982,0.0,0.0,0.0,1.0
333515130,333514921,-0.0038615018,-0.0883005,-0.067507,0.3514447,0.0,0.0,0.0,1.0
333616696,333616561,-0.036504086,0.08333696,-0.08207813,0.3785686,0.0,0.0,0.0,1.0
333720645,333720521,-0.092401505,0.14577505,-0.074215405,0.3965903,0.0,0.0,0.0,1.0
333820694,333820530,0.050634596,0.08578862,-0.17766798,0.37441707,0.0,0.0,0.0,1.0
333924734,333924535,0.047861025,0.073243864,-0.09417472,0.35773975,0.0,0.0,0.0,1.0
334024659,334024521,0.02188997,0.050199486,-0.08200495,0.36689356,0.0,0.0,0.0,1.0
334124659,334124527,0.008119287,0.081347145,-0.10355181,0.3724501,0.0,0.0,0.0,1.0
334225455,334225321,-0.031216651,0.027951926,-0.08011774,0.38587344,0.0,0.0,0.0,1.0
334329488,334329332,0.05326031,0.030427938,-0.09075114,0.3865714,0.0,0.0,0.0,1.0
334429492,334429321,-0.02491138,0.023801738,-0.11053939,0.38440713,0.0,0.0,0.0,1.0
334533452,334533324,-0.026679585,0.022016576,-0.07262381,0.38575515,0.0,0.0,0.0,1.0
334633502,334633366,0.08379111,0.05989632,-0.116118506,0.38169196,0.0,0.0,0.0,1.0
334733490,334733322,-0.035166357,0.041860126,-0.06360469,0.38438413,0.0,0.0,0.0,1.0
334837453,334837321,-0.003410426,0.035647992,-0.098915435,0.38422886,0.0,0.0,0.0,1.0
334938242,334938120,0.08077437,0.0469241,-0.12156055,0.38793683,0.0,0.0,0.0,1.0
335038248,335038120,-0.0334623,0.051785007,-0.035132684,0.39147523,0.0,0.0,0.0,1.0
335142271,335142145,0.020608976,0.048339196,-0.090441324,0.39088437,0.0,0.0,0.0,1.0
335242318,335242145,-0.059472803,0.021684084,-0.042043492,0.39355993,0.0,0.0,0.0,1.0
335342277,335342146,0.049600445,0.026866142,-0.12846476,0.39625663,0.0,0.0,0.0,1.0
335446285,335446120,0.00948583,0.029492691,-0.09765825,0.40457,0.0,0.0,0.0,1.0
335546244,335546120,-0.033026624,0.043085802,-0.10516646,0.40917715,0.0,0.0,0.0,1.0
335647888,335647721,0.043732893,0.037242733,-0.11554447,0.41108894,0.0,0.0,0.0,1.0
335747843,335747721,-0.08348942,0.02628115,-0.08110452,0.41312093,0.0,0.0,0.0,1.0
335851882,335851721,0.09698987,0.0295119,-0.077552736,0.4078557,0.0,0.0,0.0,1.0
335951901,335951747,0.02777429,0.032591607,-0.14753236,0.39511967,0.0,0.0,0.0,1.0
336055856,336055721,0.027556792,0.049732074,-0.11453548,0.39247313,0.0,0.0,0.0,1.0
336155889,336155720,-0.014022441,0.046757814,-0.08380293,0.39613107,0.0,0.0,0.0,1.0
336257450,336257321,0.04892497,0.03950691,-0.10293481,0.39615998,0.0,0.0,0.0,1.0
336357494,336357321,0.0018971525,0.058996413,-0.07953269,0.38923258,0.0,0.0,0.0,1.0
336461523,336461321,-0.043676183,0.074761115,-0.07718957,0.38668698,0.0,0.0,0.0,1.0
336565472,336565341,0.0031609293,0.053332373,-0.10622485,0.38118598,0.0,0.0,0.0,1.0
336665499,336665368,-0.02370356,0.044317715,-0.08769447,0.3767973,0.0,0.0,0.0,1.0
336767046,336766924,0.043930855,0.09583436,-0.111661986,0.37254712,0.0,0.0,0.0,1.0
336871067,336870938,0.015550933,0.060287297,-0.12236528,0.37223497,0.0,0.0,0.0,1.0
336971043,336970921,-0.02504079,0.051496886,-0.0847511,0.382346,0.0,0.0,0.0,1.0
337071043,337070921,0.0016632341,0.08601874,-0.1005665,0.38896057,0.0,0.0,0.0,1.0
337175084,337174921,-0.050526977,0.13395917,-0.067246675,0.37532473,0.0,0.0,0.0,1.0
