timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
295971813,0.26239914,-0.06404544,0.45119578
295981849,0.29036444,-0.08494972,0.43550375
295991870,0.2575759,-0.06814401,0.4388972
296001808,0.28332558,-0.0806204,0.44526887
296011787,0.2524365,-0.058020853,0.45577425
296021784,0.3090778,-0.09737242,0.41332078
296031787,0.25988188,-0.06296748,0.4525292
296041784,0.2975361,-0.09139315,0.42648897
296051787,0.26344705,-0.062110037,0.44860506
296061784,0.2594884,-0.061545987,0.4411416
296071787,0.26930577,-0.06736768,0.44741452
296081784,0.26688474,-0.06716394,0.4460303
296091787,0.27914345,-0.06772316,0.44636434
296101784,0.26188287,-0.06515565,0.4410251
296111789,0.27580392,-0.06556243,0.44166785
296121784,0.26461136,-0.06800988,0.44722697
296131828,0.26340297,-0.06258815,0.4363511
296141784,0.276988,-0.07278658,0.4487305
296151787,0.25404948,-0.052357856,0.46197435
296161784,0.27530062,-0.063175775,0.44238174
296171828,0.26508248,-0.06608129,0.44967332
296181784,0.297106,-0.08633128,0.43863344
296191812,0.26755887,-0.062347896,0.42924583
296201785,0.26643282,-0.06087751,0.44304127
296211803,0.27526748,-0.074296884,0.44331697
296221785,0.26190832,-0.060039796,0.45155603
296231804,0.2823441,-0.07600752,0.4369847
296241784,0.24755313,-0.05049392,0.456422
296251788,0.2879062,-0.07439066,0.44416934
296261827,0.27212137,-0.06654731,0.44215733
296271828,0.273234,-0.067007504,0.45123655
296281784,0.27295843,-0.0662734,0.43876985
296291795,0.25730672,-0.05438959,0.45549613
296301784,0.29562145,-0.077787064,0.4378038
296311802,0.26414555,-0.05931392,0.44913045
296321795,0.3370839,-0.117813356,0.4054769
296331794,0.25135547,-0.04996656,0.41880396
296341784,0.32049602,-0.09137213,0.41938984
296351795,0.26165494,-0.05897507,0.4339617
296361784,0.26076052,-0.05589251,0.45246872
296371794,0.26915085,-0.059723396,0.44953886
296381824,0.25890616,-0.067406885,0.4530816
296391794,0.25752476,-0.05861703,0.4448402
296401809,0.2594302,-0.053391773,0.4472836
296411833,0.28638592,-0.07471985,0.44434932
296421784,0.26439533,-0.05694519,0.42857882
296431795,0.29015484,-0.07108249,0.44142196
296441784,0.26305875,-0.06551711,0.43257076
296451794,0.265924,-0.04810586,0.45290986
296461784,0.27514756,-0.06598269,0.44220167
296471797,0.26870573,-0.06723554,0.45310804
296481784,0.26928163,-0.0597383,0.45484552
296491795,0.25145945,-0.04633769,0.44511425
296501784,0.28912097,-0.0726833,0.44361642
296511794,0.26534277,-0.05289322,0.44457275
296521784,0.28757927,-0.07053547,0.4466514
296531795,0.28515196,-0.07454567,0.43419585
296541784,0.262843,-0.053290743,0.4589102
296551819,0.28910035,-0.07940194,0.43295097
296561784,0.25678277,-0.054858316,0.44779378
296571787,0.2914315,-0.0774222,0.4436226
296581789,0.24821799,-0.04761527,0.43989933
296591849,0.3017765,-0.07800829,0.43499607
296601788,0.2633405,-0.058134668,0.44261488
296611840,0.28632197,-0.07367216,0.4394056
296621784,0.26660314,-0.060132157,0.44723246
296631819,0.25756547,-0.05005462,0.44594142
296641785,0.27421814,-0.065557025,0.4414487
296651820,0.26502383,-0.058806997,0.4265815
296661819,0.2867327,-0.07541064,0.44580707
296671791,0.2651316,-0.057179198,0.42353934
296681785,0.27657673,-0.0637985,0.44909567
296691830,0.2757416,-0.06305501,0.44117776
296701793,0.2791529,-0.064493984,0.44834805
296711859,0.274705,-0.061914396,0.44794977
296721785,0.2636183,-0.05663985,0.44601893
296731816,0.2832006,-0.065480165,0.44429824
296741785,0.27911326,-0.06488173,0.4382182
296751815,0.29234377,-0.0836734,0.4358609
