timestamp,safety_switch_available,safety_off,override_available,override_enabled
691150981,1,1,0,0
691171000,1,1,0,0
691194950,1,1,0,0
691218973,1,1,0,0
691238971,1,1,0,0
691258973,1,1,0,0
691283269,1,1,0,0
691306952,1,1,0,0
691330989,1,1,0,0
691350979,1,1,0,0
691374947,1,1,0,0
691398988,1,1,0,0
691418952,1,1,0,0
691442951,1,1,0,0
691463255,1,1,0,0
691482964,1,1,0,0
691502971,1,1,0,0
691526990,1,1,0,0
691546987,1,1,0,0
691571981,1,1,0,0
691592570,1,1,0,0
691612570,1,1,0,0
691632595,1,1,0,0
691656565,1,1,0,0
691676550,1,1,0,0
691696570,1,1,0,0
691720489,1,1,0,0
691744570,1,1,0,0
691768570,1,1,0,0
691792573,1,1,0,0
691816593,1,1,0,0
691836597,1,1,0,0
691856613,1,1,0,0
691880570,1,1,0,0
691900571,1,1,0,0
691924597,1,1,0,0
691948482,1,1,0,0
691968868,1,1,0,0
691992548,1,1,0,0
692012563,1,1,0,0
692032554,1,1,0,0
692052621,1,1,0,0
692076795,1,1,0,0
692097280,1,1,0,0
692118189,1,1,0,0
692142195,1,1,0,0
692162197,1,1,0,0
692182522,1,1,0,0
692206212,1,1,0,0
692226266,1,1,0,0
692250154,1,1,0,0
692274199,1,1,0,0
692298174,1,1,0,0
692322235,1,1,0,0
692342248,1,1,0,0
692362575,1,1,0,0
692382215,1,1,0,0
692406189,1,1,0,0
692430171,1,1,0,0
692454190,1,1,0,0
692478148,1,1,0,0
692498150,1,1,0,0
692522174,1,1,0,0
692542498,1,1,0,0
692566136,1,1,0,0
692590187,1,1,0,0
692610177,1,1,0,0
692630974,1,1,0,0
692651185,1,1,0,0
692674992,1,1,0,0
692694959,1,1,0,0
692714967,1,1,0,0
692739033,1,1,0,0
692762970,1,1,0,0
692786970,1,1,0,0
692806970,1,1,0,0
692831286,1,1,0,0
692854951,1,1,0,0
692874967,1,1,0,0
692898970,1,1,0,0
692918971,1,1,0,0
692942967,1,1,0,0
692962970,1,1,0,0
692982970,1,1,0,0
693006997,1,1,0,0
693030987,1,1,0,0
693050973,1,1,0,0
693070953,1,1,0,0
693090953,1,1,0,0
693115026,1,1,0,0
693138963,1,1,0,0
693162983,1,1,0,0
693186961,1,1,0,0
693210931,1,1,0,0
693230968,1,1,0,0
693250971,1,1,0,0
693274928,1,1,0,0
693294940,1,1,0,0
693319765,1,1,0,0
693340570,1,1,0,0
693364608,1,1,0,0
693388570,1,1,0,0
693408574,1,1,0,0
693428570,1,1,0,0
693452578,1,1,0,0
693476762,1,1,0,0
693500574,1,1,0,0
693524573,1,1,0,0
693548751,1,1,0,0
693572597,1,1,0,0
693592652,1,1,0,0
