timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
634401326,0.12659897,-0.010627788,-0.14567503,4005,0,-1.1967677,-0.7466493,-10.355236,4005
634405321,0.111362725,0.007838953,-0.1481161,3995,0,-0.45856366,-1.7756275,-10.515478,3995
634409321,0.035899226,0.03712663,-0.054276224,4000,0,0.773997,-1.9951562,-10.810113,4000
634413321,-0.124932624,0.03886043,-0.0070370063,4000,0,2.0768015,-0.75189775,-9.774474,4000
634417326,-0.20470524,-0.0069695087,0.066720225,4005,0,1.1834959,1.9955071,-8.604983,4005
634421334,-0.1569823,0.014179576,0.09533525,4008,0,-0.44890407,3.412732,-8.112034,4008
634425321,-0.049170792,-0.009946373,-0.0222627,3987,0,-0.81989866,3.8202047,-9.136183,3987
634429341,0.08281246,-0.0048308913,-0.034213353,4020,0,-0.4265064,2.9152055,-10.578266,4020
634433321,0.11777877,0.0074887304,-0.0005785409,3980,0,0.21956219,0.76846933,-10.80053,3980
634437321,0.02703729,-0.025428828,-0.012689107,4000,0,1.1721262,-0.4280908,-10.954985,4000
634441321,-0.060457468,0.009769805,0.038467016,4000,0,2.5276618,-0.5653484,-9.616633,4000
634445321,-0.08394362,-0.007594611,0.08966504,4000,0,2.543625,0.470431,-8.608006,4000
634449321,-0.13015601,-0.022495288,0.123431884,4000,0,0.9504177,2.1365168,-8.719702,4000
634453321,-0.12784366,-0.0033551552,0.0529061,4000,0,-0.43347418,2.9251995,-9.356254,4000
634457321,0.031689707,-0.024883972,-0.05345233,4000,0,-0.22946669,2.6808498,-10.193221,4000
634461321,0.18567948,-6.154602e-05,-0.07396659,4000,0,0.73812926,1.2074915,-10.63113,4000
634465321,0.14936084,-0.031112446,-0.06001127,4000,0,1.2218966,-0.5963625,-10.188294,4000
634469327,0.049139194,-0.0123941675,-0.07385988,4006,0,2.5753014,-1.6072313,-9.408917,4006
634473323,0.022267686,0.01643106,-0.036739618,3996,0,2.600663,-0.86226195,-9.608815,3996
634477321,-0.07472871,0.028271921,0.03643872,3998,0,1.1550143,0.69480634,-10.80032,3998
634481321,-0.21462984,-0.015023203,-0.008010523,4000,0,-0.49222645,2.4758615,-10.86232,4000
634485321,-0.11066357,-0.031897567,-0.026576253,4000,0,-1.2536858,3.6478243,-9.109396,4000
634489329,0.1300769,0.0032403078,-0.05964673,4008,0,-0.35821465,2.1373038,-8.0224495,4008
634493321,0.1696505,-0.006509509,-0.12119599,3992,0,0.48000062,0.75305414,-9.01611,3992
634497321,0.0765647,-0.0047321236,-0.03838942,4000,0,1.3702433,-0.2788003,-10.503095,4000
634501321,-0.037615735,-0.0011139816,0.050026033,4000,0,0.8449909,-0.21920589,-11.010732,4000
634505321,-0.13993534,-0.013037648,0.06645989,4000,0,-0.04188841,0.7867142,-10.884834,4000
634509330,-0.17133637,-0.008590413,0.06176444,4009,0,-0.8714615,2.3210492,-9.695454,4009
634513341,-0.070054695,-0.008734334,0.06976037,4011,0,-0.07681464,2.5711746,-8.364586,4011
634517321,0.051725857,-0.007902685,0.0012163683,3980,0,0.35570785,1.8437128,-8.250376,3980
634521321,0.14701313,-0.0128362905,-0.0014962574,4000,0,0.87235355,0.7672819,-9.459454,4000
634525321,0.11013071,-0.025150482,0.013003823,4000,0,2.5297287,-0.89193404,-10.797501,4000
634529364,-0.044864796,0.008345547,0.0061982907,4043,0,2.8291886,-0.3321361,-11.230355,4043
634533326,-0.13964161,0.0075713606,0.086055405,3962,0,1.5904586,1.3059552,-11.201241,3962
634537321,-0.13480955,-0.0084293615,0.07337449,3995,0,-0.29017642,2.2272494,-10.260806,3995
634541321,-0.040497135,0.013299581,-0.026135389,4000,0,-0.18054204,2.2193453,-8.616139,4000
634545321,0.09263633,0.012560965,-0.12024485,4000,0,1.4047452,1.2797425,-7.827505,4000
634549331,0.1832474,0.0015565518,-0.059611972,4010,0,1.8888506,0.2907204,-8.571935,4010
634553321,0.11871865,-0.032426402,-0.006043892,3990,0,1.5229062,-0.94464594,-10.094428,3990
634557321,-0.0782113,-0.004049897,-0.046367664,4000,0,0.85506815,-0.27131554,-11.417225,4000
634561321,-0.15771027,-0.019783143,-0.030438334,4000,0,0.2822716,1.3360783,-11.676878,4000
634565321,-0.1138658,-0.028356869,0.009090293,4000,0,-0.40291047,2.530075,-10.350195,4000
634569339,-0.013732188,-0.018245127,-0.011298833,4018,0,0.11131082,2.2232018,-7.9593177,4018
634573321,0.08569802,-0.020830322,-0.11928859,3982,0,0.84339285,1.4752153,-7.2359376,3982
634577321,0.13180448,-0.003381809,-0.034383226,4000,0,0.79412574,1.1240208,-9.164748,4000
634581321,0.03445064,-0.0014836477,0.057710502,4000,0,0.5538177,0.39734313,-11.583493,4000
634585323,-0.13516425,-0.01710155,0.019534966,4002,0,-0.5342273,1.116132,-12.180557,4002
634589321,-0.120380245,-0.024304353,0.017107636,3998,0,-1.3411914,1.915191,-10.667057,3998
634593321,0.03130824,-0.017713105,0.035321914,4000,0,-0.29884464,1.2934053,-8.741093,4000
634597341,0.067451105,0.0047505414,-0.04816776,4020,0,1.2680256,0.14345592,-7.7376966,4020
634601331,0.041179325,0.010746902,-0.016811283,3990,0,2.2770753,0.32632375,-8.293885,3990
634605321,0.015384074,0.0026502744,0.102457814,3990,0,2.3486342,0.3346478,-10.483898,3990
634609321,-0.106395386,0.015903736,0.063681275,4000,0,1.4269714,1.2127906,-12.202914,4000
634613321,-0.12932938,0.0076422603,0.016671296,4000,0,0.21639556,2.5664961,-12.192236,4000
634617346,-0.004310508,0.016862812,0.022856595,4025,0,-0.5128759,2.4657762,-10.048186,4025
634621321,0.09634842,-0.026580969,-0.045894593,3975,0,0.16865136,0.6989141,-7.6434727,3975
634625321,0.09051444,-0.004581174,-0.10190539,4000,0,1.7290378,-0.2883251,-6.4742975,4000
634629335,0.06561734,-0.0043120794,0.017787518,4014,0,2.915657,-0.48035938,-7.877482,4014
634633321,-0.040788934,0.010858132,0.04378691,3986,0,1.9800963,0.048859518,-11.245262,3986
634637366,-0.11621097,-0.031101221,0.013075604,4045,0,-0.23676574,1.8011619,-12.933539,4045
634641321,-0.074991055,-0.056853708,0.0028302087,3955,0,-0.90507054,2.2737172,-11.906743,3955
634645321,-0.0050603673,-0.055283688,-0.07823582,4000,0,-0.070959024,1.6176561,-8.374438,4000
634649321,0.09114194,-0.02526799,-0.08925038,4000,0,1.2091229,1.1164869,-6.6639614,4000
634653321,0.12287174,0.008932262,0.032054543,4000,0,2.2354913,0.68669575,-7.979387,4000
634657355,-0.054350775,-0.0017795957,0.056718104,4034,0,1.459462,0.8439759,-10.886343,4034
634661321,-0.15312488,-0.021642009,-0.010743913,3966,0,-0.26970026,1.9556955,-12.620659,3966
634665321,0.0063489354,-0.010842737,-0.00831109,4000,0,-1.4553452,2.0942318,-12.070476,4000
634669321,0.11125544,-0.040399272,-0.036597397,4000,0,-1.1101345,0.5318319,-9.648202,4000
634673321,0.025841482,-0.040884662,-0.08194342,4000,0,0.054303534,-0.29523426,-7.3990846,4000
634677368,-0.0069896514,0.03489264,0.0040439316,4047,0,2.6631086,-0.46591765,-7.2259026,4047
634681341,-0.03780921,0.045199204,0.06971051,3973,0,3.0850792,0.69755954,-10.128108,3973
634685321,-0.13714741,0.010619989,0.078307256,3980,0,0.91775155,2.1569114,-12.666956,3980
634690124,-0.076344006,-0.016297463,-0.004775572,4803,0,-1.0312879,2.7417648,-11.71739,4803
634694124,0.13003524,-0.027473608,-0.077546954,4000,0,-0.64325964,1.271157,-9.084969,4000
634698156,0.11037222,-0.009787455,-0.11888135,4032,0,0.87229466,0.034177948,-7.4406633,4032
634706921,-0.08100985,0.027608676,0.09064523,4000,0,1.9981617,0.6777775,-10.160526,4000
634710925,-0.11831869,-0.0045411903,0.026509073,4004,0,0.2631302,1.8801779,-12.239705,4004
634714941,-0.04776495,-0.015781108,-0.03380406,4016,0,-0.7692984,2.4529183,-11.688033,4016
634718931,0.12387653,-0.055251382,-0.0043702447,3990,0,-1.0423051,1.320053,-9.261526,3990
634722921,0.08859127,-0.02767881,-0.043810938,3990,0,0.82080287,-0.28710327,-7.6761065,3990
634726921,-0.056639377,-0.006618422,-0.03887462,4000,0,2.9617698,0.040768318,-7.9942155,4000
634730956,-0.092212394,0.020823233,0.08602572,4035,0,2.5838075,1.5667952,-9.955877,4035
634734938,-0.079979695,-0.009536689,0.14442796,3982,0,-0.27316633,2.5189838,-11.913936,3982
634738921,-0.06889658,-0.01174807,-0.008079046,3983,0,-1.7273393,2.322399,-11.93031,3983
634742921,0.09652338,-0.030918883,-0.13602272,4000,0,-0.19839916,1.1651645,-9.528684,4000
634746921,0.22035411,-0.018545583,-0.051301245,4000,0,1.6336625,-0.10275776,-7.4284906,4000
634750921,0.048604302,-0.021202127,0.05791062,4000,0,2.746452,-1.1206585,-7.7748017,4000
634754921,-0.15088497,0.013359823,0.005666069,4000,0,1.8779675,0.20391376,-10.124403,4000
634758921,-0.08251115,-0.001975783,0.02814556,4000,0,0.35061777,1.9506649,-12.097218,4000
634762920,-0.03782393,0.0044998773,0.007853168,3999,0,-0.772191,2.344021,-11.807995,3999
634766921,-0.008138703,-0.049580906,-0.06728302,4001,0,-0.6132824,1.5920286,-9.642505,4001
634770921,0.13451387,-0.006032793,-0.10979261,4000,0,0.86366516,0.61187804,-7.7335687,4000
634774921,0.12506899,-0.03409473,0.021737503,4000,0,2.011728,0.31361046,-7.7189894,4000
