timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
651407281,-0.014588702,-0.003416325,-0.3949794,-0.89202523,0.012645021,0.00015674178,-0.45180884,0.10171716,0.05032503,0.056192018,-0.9919493,1
651439317,-0.080583766,-0.030718867,0.05311059,-0.8933585,0.012467338,0.000469795,-0.44917148,0.10171716,0.05032503,0.056192018,-0.9919493,1
651471293,0.08023081,-0.009972577,-0.0047739334,-0.8947843,0.011640952,0.00037456202,-0.44634703,0.10171716,0.05032503,0.056192018,-0.9919493,1
651503280,0.2918365,-0.029687919,-0.17799476,-0.8962713,0.011406672,0.00038217657,-0.44335964,0.10171716,0.05032503,0.056192018,-0.9919493,1
651535291,-0.14508316,0.044111934,-0.5025309,-0.89795387,0.011937272,0.0009428498,-0.43992656,0.10171716,0.05032503,0.056192018,-0.9919493,1
651567298,-0.38014042,-0.05932584,-0.328111,-0.8999323,0.012260414,0.001522291,-0.43585473,0.10171716,0.05032503,0.056192018,-0.9919493,1
651595313,0.02161777,-0.055736456,-0.44294313,-0.9017634,0.011555518,0.0016772955,-0.43207258,0.10171716,0.05032503,0.056192018,-0.9919493,1
651627332,-0.04882685,0.04901694,-0.38422942,-0.9042481,0.011639595,0.0018681447,-0.42684463,0.10171716,0.05032503,0.056192018,-0.9919493,1
651659297,0.16580617,-0.10925803,-0.3124306,-0.9069491,0.010994633,0.0020367827,-0.42109194,0.10171716,0.05032503,0.056192018,-0.9919493,1
651691315,-0.10273415,0.08725587,-0.5856214,-0.9100553,0.01102903,0.0018653894,-0.41433606,0.10171716,0.05032503,0.056192018,-0.9919493,1
651723311,0.050273914,-0.037304744,-0.46014014,-0.9131441,0.011303548,0.001895658,-0.40747574,0.10171716,0.05032503,0.056192018,-0.9919493,1
651755305,0.14238404,0.034758694,-0.5004998,-0.91645336,0.011484738,0.0014107692,-0.39997444,0.10171716,0.05032503,0.056192018,-0.9919493,1
651787294,-0.18735644,0.039678752,-0.7319994,-0.9200874,0.012421979,0.0012280616,-0.3915145,0.10171716,0.05032503,0.056192018,-0.9919493,1
651819256,-0.18211478,0.04792334,-0.41277036,-0.9233178,0.013172732,0.0010152337,-0.38380966,0.10171716,0.05032503,0.056192018,-0.9919493,1
651847288,-0.07525044,0.045555644,-0.35327786,-0.9259857,0.013274432,0.0008492394,-0.3773242,0.10171716,0.05032503,0.056192018,-0.9919493,1
651879300,-0.008861726,-0.08532927,-0.31357405,-0.9285752,0.012603749,0.00080427405,-0.3709294,0.10171716,0.05032503,0.056192018,-0.9919493,1
651912250,-0.17832036,-0.035616215,-0.5618375,-0.93117815,0.012033488,0.00076586724,-0.36436516,0.10171716,0.05032503,0.056192018,-0.9919493,1
651944095,0.30459282,-0.045111794,-0.29901642,-0.93326944,0.010288322,0.00086681475,-0.3590287,0.10171716,0.05032503,0.056192018,-0.9919493,1
